Date,Open,High,Low,Close,Volume,Market
"Oct 14, 2017",0.26115,0.26115,0.25732,0.25732,211160000,10062500000
"Oct 13, 2017",0.24828499999999998,0.24828499999999998,0.238867,0.26048899999999997,398689000,9583920000
"Oct 12, 2017",0.265046,0.265046,0.248414,0.248414,245004000,10230900000
"Oct 11, 2017",0.260658,0.260658,0.25908000000000003,0.264439,161206000,10061500000
"Oct 10, 2017",0.252825,0.252825,0.241193,0.260733,384049000,9758310000
"Oct 09, 2017",0.278758,0.278758,0.24043,0.251825,610110000,10759300000
"Oct 08, 2017",0.238312,0.238312,0.23753200000000002,0.279944,529838000,9198180000
"Oct 07, 2017",0.233963,0.233963,0.23347800000000002,0.23861,77950200,9030320000
"Oct 06, 2017",0.23772600000000002,0.23772600000000002,0.233533,0.234039,167492000,9115310000
"Oct 05, 2017",0.215583,0.215583,0.215583,0.23701599999999998,404299000,8266280000
"Oct 04, 2017",0.203218,0.203218,0.202647,0.21477399999999996,123573000,7792170000
"Oct 03, 2017",0.203209,0.203209,0.19873,0.203318,48703100,7791820000
"Oct 02, 2017",0.206077,0.206077,0.199444,0.202676,77412300,7901790000
"Oct 01, 2017",0.197622,0.197622,0.19617,0.20653200000000002,51345500,7577590000
"Sep 30, 2017",0.193824,0.193824,0.193497,0.197529,54729300,7431970000
"Sep 29, 2017",0.196105,0.196105,0.187172,0.193606,72291200,7519420000
"Sep 28, 2017",0.202532,0.202532,0.19134400000000001,0.196131,117962000,7765860000
"Sep 27, 2017",0.185297,0.185297,0.185098,0.203299,249934000,7105010000
"Sep 26, 2017",0.18196800000000002,0.18196800000000002,0.180085,0.186119,70000700,6977340000
"Sep 25, 2017",0.175519,0.175519,0.174939,0.18148699999999998,35622600,6730080000
"Sep 24, 2017",0.178175,0.178175,0.17416500000000001,0.175787,20566500,6831900000
"Sep 23, 2017",0.173371,0.173371,0.17152699999999999,0.17788199999999998,32476700,6647700000
"Sep 22, 2017",0.171567,0.171567,0.169291,0.17351,37244700,6578530000
"Sep 21, 2017",0.180981,0.180981,0.171148,0.171754,43583200,6939500000
"Sep 20, 2017",0.18370999999999998,0.18370999999999998,0.180333,0.182078,34521600,7044160000
"Sep 19, 2017",0.18981900000000002,0.18981900000000002,0.181334,0.184041,54046100,7278390000
"Sep 18, 2017",0.178309,0.178309,0.178309,0.18976800000000002,88397900,6837060000
"Sep 17, 2017",0.178377,0.178377,0.171017,0.178393,49161100,6839640000
"Sep 16, 2017",0.181925,0.181925,0.172279,0.179082,84495200,6975690000
"Sep 15, 2017",0.165035,0.165035,0.150973,0.181358,289414000,6328090000
"Sep 14, 2017",0.200427,0.200427,0.164167,0.164167,152533000,7685140000
"Sep 13, 2017",0.20963,0.20963,0.196179,0.20077799999999998,105471000,8038030000
"Sep 12, 2017",0.21486,0.21486,0.207608,0.20930300000000002,94519500,8238550000
"Sep 11, 2017",0.212513,0.212513,0.210353,0.214441,138339000,8148560000
"Sep 10, 2017",0.209606,0.209606,0.197605,0.213031,117091000,8037080000
"Sep 09, 2017",0.21129299999999998,0.21129299999999998,0.206395,0.209995,51185500,8101800000
"Sep 08, 2017",0.223615,0.223615,0.206103,0.21151799999999998,151329000,8574260000
"Sep 07, 2017",0.22638200000000003,0.22638200000000003,0.21961799999999998,0.22364,103080000,8680360000
"Sep 06, 2017",0.21495100000000003,0.21495100000000003,0.21480500000000002,0.22618600000000003,163297000,8242060000
"Sep 05, 2017",0.20511,0.20511,0.19023199999999998,0.215189,242636000,7864700000
"Sep 04, 2017",0.22878099999999998,0.22878099999999998,0.19596,0.20496799999999998,239613000,8772340000
"Sep 03, 2017",0.227229,0.227229,0.218662,0.22881100000000001,186526000,8712840000
"Sep 02, 2017",0.24934800000000001,0.24934800000000001,0.21777399999999997,0.226669,329928000,9560940000
"Sep 01, 2017",0.255803,0.255803,0.243833,0.248479,283576000,9808460000
"Aug 31, 2017",0.22755799999999998,0.22755799999999998,0.22590700000000002,0.25563,432574000,8725450000
"Aug 30, 2017",0.218871,0.218871,0.21747600000000003,0.228006,181186000,8392340000
"Aug 29, 2017",0.22402600000000003,0.22402600000000003,0.214867,0.21856399999999998,269770000,8590000000
"Aug 28, 2017",0.203425,0.203425,0.19660999999999998,0.22450799999999999,542468000,7800090000
"Aug 27, 2017",0.212617,0.212617,0.197717,0.202995,193971000,8152540000
"Aug 26, 2017",0.218256,0.218256,0.21032399999999998,0.212577,184121000,8368790000
"Aug 25, 2017",0.2172,0.2172,0.203022,0.21782800000000002,504484000,8328300000
"Aug 24, 2017",0.252371,0.252371,0.21254299999999998,0.21895799999999999,1342360000,9676890000
